city,locality,bhk,total_sqft,price_inr,price_per_sqft,bhk_category
Bengaluru,Electronic City Phase 1,2,1065,5958000,5594.366197183099,2 BHK
Bengaluru,Yelahanka,2,1273,6900000,5420.267085624509,2 BHK
Bengaluru,Yelahanka,3,1705,9700000,5689.149560117302,3 BHK
Bengaluru,Yelahanka,2,1304,7300000,5598.159509202454,2 BHK
Bengaluru,Anjanapura,3,1700,9180000,5400.0,3 BHK
Bengaluru,Carmelaram,2,1277,6986000,5470.634299138606,2 BHK
Bengaluru,Carmelaram,2,1111,6081000,5473.4473447344735,2 BHK
Bengaluru,Carmelaram,3,1443,7891000,5468.468468468468,3 BHK
Bengaluru,Carmelaram,2,1109,6070000,5473.399458972047,2 BHK
Bengaluru,Carmelaram,2,1089,5961000,5473.829201101928,2 BHK
Bengaluru,Carmelaram,3,1544,8442000,5467.616580310881,3 BHK
Bengaluru,Carmelaram,3,1647,9003000,5466.302367941712,3 BHK
Bengaluru,Carmelaram,2,1082,5923000,5474.121996303143,2 BHK
Bengaluru,Carmelaram,2,1128,6174000,5473.404255319149,2 BHK
Bengaluru,Carmelaram,2,1095,5994000,5473.972602739726,2 BHK
Bengaluru,Carmelaram,3,1496,8180000,5467.914438502674,3 BHK
Bengaluru,Carmelaram,3,1401,7662000,5468.950749464668,3 BHK
Bengaluru,Horamavu,3,1538,8763000,5697.659297789337,3 BHK
Bengaluru,Horamavu,3,1573,8957000,5694.214876033057,3 BHK
